County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,Unnamed: 43,Year,Total adult population in prison (number) as of December 31,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,"New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)","Property crimes reported (excluding larceny under $400 and arson, per CCI)","Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3",Unnamed: 53,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center","Total county population, all ages (number), July 1, 2013","At Legislative Analyst-estimated cost per prisoner per year, 2013-14","New felon and parole violator admissions to prison, Asian/all other/unknown race","Total county population, all ages (number), July 1, 2014","At Legislative Analyst-estimated cost per prisoner per year, 2014-15",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"Total county population, all ages (number), July 1, 2015","Estimated cost per prisoner per year, 2015-16","Total county population, all ages (number), July 1, 2016","Estimated cost per prisoner per year, 2016-17"
Sierra,2.0,12.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,4.0,0.0,0.0,,1.0,1.0,2.0,0.0,,11.0,29.0,49.0,13.0,6.0,10.0,37.0,12.0,41.0,5.0,0.0,3.0,,,,,,,1119.0,1086.0,,,2014,12.0,9.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,,,,1930.0,190.0,5.0,80.0,2205.0,,,,40.0,,,1.0,3168.0,,,,,,,
Siskiyou,102.0,162.0,15.000000000000002,114.0,41.0,8.0,1.0,2.0,52.0,7.0,45.0,57.0,35.0,9.0,3.0,,92.0,10.0,91.0,11.0,,137.0,724.0,869.0,212.0,124.0,238.0,631.0,238.0,651.0,97.0,49.0,72.0,,,,,,,14809.0,14722.0,,,2014,177.0,130.0,13.0,9.0,25.0,47.0,10.0,31.0,15.0,5.0,,,,23454.0,3016.0,406.0,2655.0,29531.0,,,,861.0,,,10.0,44635.0,,,,,,,
Solano,834.0,982.0,33.0,788.0,121.0,52.0,15.0,2.0,185.0,36.0,149.0,256.0,80.0,44.0,113.0,,609.0,225.0,732.0,102.0,,2109.0,13453.0,5472.0,1361.0,1250.0,1657.0,4263.0,1209.0,2054.0,930.0,2131.0,357.0,,,,,,,147500.0,145712.0,,,2014,1015.0,255.0,174.0,495.0,91.0,247.0,9.0,145.0,54.0,29.0,,,,122153.0,67871.0,42735.0,60453.0,293212.0,,,,15562.0,,,19.0,425618.0,,,,,,,
Sonoma,1015.0,912.9999999999994,42.0,678.0,143.0,41.0,8.0,1.0,245.0,24.0,221.0,260.0,129.0,81.0,28.0,,491.0,524.0,847.0,168.0,,1821.0,8583.0,4865.0,1152.0,921.0,2008.0,3691.0,1174.0,3156.0,1129.0,350.0,230.0,,,,,,,170067.0,172086.0,,,2014,955.0,425.9999999999999,333.0,92.0,104.00000000000011,243.0,17.0,122.0,60.0,27.0,,,,227065.0,83644.0,5177.0,26267.0,342153.0,,,,10404.0,,,22.0,497645.0,,,,,,,
Stanislaus,1087.0,1706.0000000000002,108.0,1041.0,416.0,196.0,118.0,3.0,645.0,69.0,576.0,647.0,299.0,248.0,54.0,,789.0,298.0,960.0,127.0,,2826.0,18559.0,9851.0,2115.0,2115.0,3210.0,7610.0,2241.0,5033.0,3450.0,988.0,380.0,,,,,,,172905.0,174602.0,,,2014,1814.0,746.0,697.0,206.0,165.0,590.0,57.0,254.0,187.0,114.0,,,,165085.0,141921.0,9469.0,31032.0,347507.0,,,,21385.0,,,46.0,531796.0,,,,,,,
Sutter,212.0,328.0,12.000000000000002,220.0,58.0,29.0,9.0,4.0,52.0,4.0,48.0,112.0,62.0,28.0,10.0,,173.0,39.0,173.0,39.0,,316.0,2364.0,1127.0,371.0,275.0,239.0,849.0,278.0,703.0,264.0,94.0,66.0,,,,,,,31410.0,31288.0,,,2014,340.0,174.0,105.0,33.0,28.0,103.0,9.0,60.0,28.0,11.0,,,,31731.0,17658.0,1246.0,12063.0,62698.0,,,,2680.0,,,12.0,97104.0,,,,,,,
Tehama,184.0,340.0000000000001,22.0,206.0,52.0,64.0,18.0,3.0,135.0,19.0,116.0,129.0,96.0,22.0,5.0,,95.0,89.0,152.0,32.0,,321.0,1589.0,1379.0,193.0,226.0,580.0,1005.0,374.0,1060.0,232.0,24.0,63.0,,,,,,,20896.0,20764.0,,,2014,362.0,264.0,70.0,14.0,14.0,117.0,12.0,54.0,25.0,28.0,,,,29888.0,9098.0,253.0,2421.0,41660.0,,,,1910.0,,,6.0,63849.0,,,,,,,
Trinity,49.0,39.0,2.0,31.0,3.0,4.0,2.0,0.0,13.0,4.0,9.0,10.0,8.0,1.0,0.0,,33.0,16.0,43.0,6.0,,34.0,174.0,468.0,61.0,32.0,279.0,360.0,108.0,397.0,32.0,6.0,33.0,,,,,,,4783.0,4481.0,,,2014,41.0,32.0,0.0,4.0,5.0,9.0,1.0,5.0,2.0,1.0,,,,7675.0,655.0,43.0,891.0,9264.0,,,,208.0,,,1.0,13614.0,,,,,,,
Tulare,1547.0,2195.9999999999995,105.0,1602.0,368.0,148.0,53.0,3.0,697.0,65.0,632.0,557.0,133.0,347.0,32.0,,900.0,647.0,1345.0,202.0,,1903.0,11398.0,7619.0,1786.0,1554.0,2520.0,5848.0,1771.0,2390.0,4612.0,379.0,238.0,,,,,,,144719.0,142323.0,,,2014,2301.0,493.0,1505.0,141.0,162.0,519.0,38.0,277.0,148.0,58.0,,,,96087.0,170704.0,4066.0,16185.0,287042.0,,,,13301.0,,,45.0,460313.0,,,,,,,
Tuolumne,143.0,246.00000000000003,19.0,137.0,58.0,38.0,8.0,5.0,121.0,7.0,114.0,77.0,61.0,11.0,2.0,,118.0,25.0,113.0,30.0,,151.0,1157.0,872.0,141.0,138.0,270.0,637.0,235.0,735.0,87.0,16.0,34.0,,,,,,,20167.0,16582.0,,,2014,265.0,225.00000000000003,24.0,6.0,9.999999999999972,71.0,6.0,33.0,13.0,18.0,,,,29436.0,4198.0,1122.0,1993.0,36749.0,,,,1308.0,,,3.0,54688.0,,,,,,,
Ventura,1600.0,1643.0,68.0,1204.0,245.0,133.0,42.0,2.0,446.0,64.0,382.0,550.0,163.0,337.0,40.0,,895.0,705.0,1386.0,214.0,,1890.0,16812.0,8253.0,1895.0,1499.0,2684.0,6480.0,1773.0,3171.0,4470.0,411.0,201.0,,,,,,,284683.0,282624.0,,,2014,1711.0,469.0000000000001,1036.0,152.0,54.0,515.0,35.0,229.0,132.0,118.0,,,,277910.0,226502.0,9910.0,52985.0,567307.0,,,,18702.0,,,10.0,847972.0,,,,,,,
Yolo,375.0,747.0,29.000000000000004,449.0,140.0,107.0,25.0,7.0,302.0,29.0,273.0,259.0,98.0,96.0,48.0,,270.0,105.0,319.0,56.0,,757.0,5507.0,2951.0,604.0,527.0,985.0,2216.0,735.0,1509.0,854.0,408.0,180.0,,,,,,,72083.0,75946.0,,,2014,776.0,279.0,292.0,132.0,73.0,244.0,15.0,101.0,56.0,58.0,,,,73909.0,42325.0,3629.0,28166.0,148029.0,,,,6264.0,,,17.0,209863.0,,,,,,,
Yuba,366.0,357.0,19.0,259.0,67.0,14.0,2.0,1.0,86.0,10.0,76.0,130.0,87.0,25.0,13.0,,306.0,60.0,323.0,43.0,,296.0,2135.0,1358.0,371.0,359.0,325.0,1033.0,325.0,943.0,227.0,96.0,92.0,,,,,,,23791.0,23486.0,,,2014,376.0,231.00000000000003,77.0,42.00000000000001,26.0,121.0,9.0,73.0,27.0,10.0,,,,28622.0,11113.0,1459.0,6083.0,47277.0,,,,2431.0,,,5.0,74977.0,,,,,,,
Alameda,2584.0,3607.0,107.0,3124.0,331.0,123.0,43.0,8.0,585.0,127.0,458.0,750.0,74.0,151.0,470.0,,2145.0,439.0,2353.0,231.0,,9679.0,60009.0,10489.0,3136.0,2626.0,1888.0,8204.0,2285.0,2249.0,2478.0,4812.0,950.0,,,,,,,548702.0,569499.0,,,2015,3714.0,346.0,631.0,2469.0,268.0,730.0,20.0,456.0,118.0,22.0,,,,375866.0,250874.0,132971.0,358490.0,1118201.0,,,,69688.0,,,55.0,,,437.0,300.0,1619679.0,70519.6,,
Alpine,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,9.0,35.0,14.0,6.0,3.0,1.0,13.0,1.0,12.0,0.0,0.0,2.0,,,,,,,437.0,393.0,,,2015,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,589.0,60.0,0.0,181.0,830.0,,,,44.0,,,1.0,,,0.0,0.0,1157.0,70519.6,,
Amador,87.41,127.0,1.0,86.0,9.0,11.0,1.0,0.0,55.0,14.0,41.0,35.0,25.0,5.0,1.0,,48.9,38.51,68.50999999999999,18.9,,84.0,602.0,364.0,87.0,51.0,55.0,264.0,100.0,264.0,42.0,18.0,40.0,,,,,,,14617.0,10766.0,,,2015,128.0,64.0,31.0,13.0,20.0,34.0,1.0,21.0,4.0,0.0,,,,19458.0,3519.0,889.0,1517.0,25383.0,,,,686.0,,,4.0,,,17.0,26.0,37314.0,70519.6,,
Butte,581.0,843.0,53.0,572.0,150.0,99.0,21.0,6.0,142.0,39.0,103.0,336.0,229.0,51.0,30.0,,338.0,243.0,503.0,78.0,,778.0,7543.0,2166.0,569.0,429.0,672.0,1667.0,499.0,1712.0,219.0,149.0,86.0,,,,,,,78332.0,76900.0,,,2015,896.0,591.0,141.0,98.0,66.0,310.0,26.0,167.0,67.0,32.0,,,,116864.0,21997.0,2259.0,14112.0,155232.0,,,,8321.0,,,26.0,,,197.0,197.0,224363.0,70519.6,,
Calaveras,90.0,83.0,5.0,55.0,13.0,6.0,1.0,1.0,13.0,2.0,11.0,51.0,40.0,7.0,1.0,,46.0,44.0,69.0,21.0,,129.0,808.0,366.0,151.0,47.0,36.0,283.0,83.0,311.0,34.0,7.0,14.0,,,,,,,15102.0,15071.0,,,2015,88.0,72.0,10.0,0.0,6.0,47.0,4.0,24.0,6.0,2.0,,,,24936.0,3277.0,263.0,1697.0,30173.0,,,,937.0,,,3.0,,,12.0,22.0,44899.0,70519.6,,
Colusa,88.0,60.0,1.0,46.0,8.0,3.0,0.0,1.0,6.0,1.0,5.0,18.0,9.0,9.0,0.0,,56.0,32.0,77.0,11.0,,49.0,374.0,283.0,57.0,44.0,18.0,216.0,67.0,138.0,109.0,15.0,21.0,,,,,,,7347.0,6893.0,,,2015,61.0,27.0,31.0,2.0,1.0,18.0,0.0,8.0,5.0,1.0,,,,5481.0,7987.0,123.0,649.0,14240.0,,,,423.0,,,0.0,,,15.0,16.0,22271.0,70519.6,,
Contra Costa,1360.0,1796.0,62.0,1540.0,190.0,71.0,18.0,1.0,311.0,79.0,232.0,453.0,122.0,97.0,198.0,,1031.0,329.0,1162.0,198.0,,3788.0,32394.0,8575.0,2384.0,2729.0,1186.0,6813.0,1762.0,3053.0,2035.0,2939.0,548.0,,,,,,,365955.0,383065.0,,,2015,1858.0,461.0,376.0,871.0,150.0,432.0,21.0,284.0,94.0,22.0,,,,344529.0,187167.0,67202.0,150122.0,749020.0,,,,36182.0,,,36.0,,,243.0,179.0,1116882.0,70519.6,,
Del Norte,102.0,104.0,5.0,74.0,13.0,10.0,1.0,1.0,29.0,7.0,22.0,41.0,22.0,8.0,0.0,,60.0,42.0,84.0,18.0,,142.0,592.0,318.0,160.0,50.0,48.0,241.0,77.0,242.0,17.0,4.0,55.0,,,,,,,11699.0,8153.0,,,2015,109.0,68.0,14.0,5.0,22.0,37.0,4.0,27.0,6.0,2.0,,,,12450.0,3762.0,1031.0,2609.0,19852.0,,,,734.0,,,11.0,,,21.0,20.0,27119.0,70519.6,,
El Dorado,393.0,372.0,24.0,264.0,74.0,33.0,4.0,1.0,98.0,12.0,86.0,136.0,110.0,14.0,5.0,,211.0,182.0,326.0,67.0,,338.0,3151.0,1356.0,447.0,240.0,222.0,1028.0,328.0,1073.0,163.0,58.0,62.0,,,,,,,63310.0,62770.0,,,2015,396.0,314.0,38.0,27.0,17.0,126.0,10.0,74.0,25.0,10.0,,,,101028.0,15008.0,943.0,9101.0,126080.0,,,,3489.0,,,7.0,,,48.0,70.0,183140.0,70519.6,,
Fresno,2584.0,3964.0,170.0,2874.0,681.0,254.0,75.0,7.0,1335.0,188.0,1147.0,1435.0,278.0,834.0,255.0,,1751.0,833.0,2275.0,309.0,,5228.0,33447.0,10621.0,3973.0,1962.0,878.0,8516.0,2105.0,2420.0,6065.0,1543.0,593.0,,,,,,,317213.0,312749.0,,,2015,4134.0,771.0,2217.0,876.0,270.0,1336.0,99.0,795.0,254.0,76.0,,,,206596.0,314650.0,31827.0,76889.0,629962.0,,,,38675.0,,,68.0,,,973.0,783.0,979357.0,70519.6,,
Glenn,99.0,107.0,0.0,66.0,21.0,10.0,2.0,0.0,35.0,1.0,34.0,34.0,13.0,17.0,3.0,,52.0,47.0,78.0,21.0,,106.0,514.0,274.0,107.0,54.0,28.0,210.0,64.0,159.0,88.0,9.0,18.0,,,,,,,9468.0,9058.0,,,2015,107.0,57.0,41.0,3.0,6.0,33.0,1.0,18.0,7.0,1.0,,,,10112.0,7143.0,151.0,1120.0,18526.0,,,,620.0,,,1.0,,,6.0,13.0,28960.0,70519.6,,
Humboldt,327.0,356.0,20.0,275.0,49.0,20.0,6.0,1.0,41.0,3.0,38.0,134.0,91.0,8.0,5.0,,233.0,94.0,287.0,40.0,,539.0,4400.0,1558.0,430.0,260.0,290.0,1233.0,325.0,1193.0,73.0,81.0,211.0,,,,,,,49283.0,47157.0,,,2015,376.0,246.0,26.0,16.0,88.0,127.0,7.0,67.0,26.0,12.0,,,,75009.0,9446.0,1113.0,10872.0,96440.0,,,,4939.0,,,30.0,,,35.0,49.0,135090.0,70519.6,,
Imperial,513.0,361.0,13.0,243.0,59.0,38.0,2.0,0.0,97.0,12.0,85.0,140.0,23.0,105.0,11.0,,310.0,203.0,448.0,65.0,,723.0,6039.0,2424.0,600.0,391.0,876.0,1985.0,439.0,400.0,1836.0,118.0,70.0,,,,,,,63054.0,57636.0,,,2015,374.0,54.0,270.0,39.0,11.0,133.0,7.0,87.0,20.0,12.0,,,,16426.0,96168.0,4526.0,3570.0,120690.0,,,,6762.0,,,1.0,,,67.0,72.0,185328.0,70519.6,,
Inyo,65.0,43.0,3.0,35.0,5.0,3.0,0.0,0.0,11.0,0.0,11.0,14.0,2.0,2.0,1.0,,27.0,38.0,52.0,13.0,,97.0,240.0,173.0,79.0,17.0,21.0,134.0,39.0,88.0,30.0,3.0,52.0,,,,,,,6540.0,6150.0,,,2015,46.0,18.0,4.0,1.0,23.0,14.0,0.0,10.0,1.0,1.0,,,,8310.0,2489.0,93.0,1798.0,12690.0,,,,337.0,,,9.0,,,10.0,7.0,18640.0,70519.6,,
Kern,2309.0,3465.0,150.0,2104.0,678.0,436.0,121.0,5.0,1484.0,251.0,1233.0,1415.0,403.0,751.0,242.0,,1435.0,874.0,2038.0,271.0,,4908.0,30342.0,9571.0,3627.0,2311.0,989.0,7641.0,1930.0,3517.0,4292.0,1503.0,259.0,,,,,,,307052.0,273075.0,,,2015,3615.0,981.0,1774.0,774.0,86.0,1327.0,88.0,641.0,327.0,131.0,,,,221755.0,286060.0,33363.0,38949.0,580127.0,,,,35250.0,,,19.0,,,829.0,593.0,883327.0,70519.6,,
Kings,451.0,1014.0,54.0,727.0,97.0,118.0,33.0,4.0,454.0,96.0,358.0,349.0,73.0,213.0,41.0,,430.0,21.0,386.0,65.0,,694.0,3901.0,1773.0,555.0,327.0,171.0,1342.0,431.0,448.0,1018.0,208.0,99.0,,,,,,,62972.0,42471.0,,,2015,1068.0,234.0,586.0,191.0,57.0,321.0,28.0,207.0,38.0,21.0,,,,37811.0,52843.0,8375.0,6414.0,105443.0,,,,4595.0,,,22.0,,,289.0,148.0,149702.0,70519.6,,
Lake,263.0,318.0,11.0,197.0,54.0,41.0,5.0,0.0,68.0,8.0,60.0,124.0,90.0,15.0,13.0,,143.0,120.0,224.0,39.0,,346.0,1887.0,957.0,301.0,129.0,229.0,763.0,194.0,665.0,168.0,57.0,67.0,,,,,,,22272.0,21769.0,,,2015,329.0,218.0,36.0,39.0,36.0,116.0,8.0,58.0,28.0,8.0,,,,32572.0,7644.0,792.0,3033.0,44041.0,,,,2233.0,,,6.0,,,41.0,72.0,65180.0,70519.6,,
Lassen,103.2,122.0,2.0,75.0,11.0,17.0,1.0,1.0,54.0,13.0,41.0,42.0,26.0,9.0,3.0,,46.1,57.1,81.9,21.3,,220.0,591.0,325.0,131.0,51.0,53.0,245.0,80.0,260.0,32.0,12.0,21.0,,,,,,,18228.0,8631.0,,,2015,124.0,64.0,30.0,19.0,11.0,40.0,2.0,23.0,7.0,5.0,,,,16854.0,5380.0,2867.0,1758.0,26859.0,,,,811.0,,,4.0,,,23.0,19.0,30969.0,70519.6,,
Los Angeles,16075.0,40872.0,1798.0,31284.0,5752.0,2698.0,720.0,151.0,13624.0,2661.0,10963.0,9790.0,1179.0,5072.0,3116.0,,9636.0,6439.0,14024.0,2051.0,,50466.0,240050.0,70209.0,26284.0,17335.0,9449.0,56766.0,13443.0,12158.0,35900.0,18493.0,3658.0,,,,,,,3464176.0,3503370.0,,,2015,42670.0,4121.0,20137.0,15884.0,2528.0,9077.0,713.0,5186.0,1983.0,794.0,,,,1909677.0,3329326.0,583730.0,1144813.0,6967546.0,,,,290516.0,,,423.0,,,6040.0,5063.0,10185487.0,70519.6,,
Madera,365.0,497.0,58.0,381.0,60.0,62.0,12.0,1.0,218.0,32.0,186.0,214.0,51.0,132.0,17.0,,283.0,82.0,318.0,47.0,,858.0,3703.0,1111.0,386.0,174.0,206.0,903.0,208.0,373.0,613.0,98.0,27.0,,,,,,,48087.0,53450.0,,,2015,555.0,138.0,314.0,69.0,34.0,190.0,24.0,131.0,26.0,22.0,,,,37774.0,54717.0,4233.0,4813.0,101537.0,,,,4561.0,,,14.0,,,116.0,126.0,154956.0,70519.6,,
Marin,280.0,248.0,6.0,181.0,47.0,15.0,5.0,0.0,91.0,29.0,62.0,56.0,17.0,14.0,23.0,,210.0,70.0,235.0,45.0,,518.0,5286.0,1230.0,480.0,309.0,169.0,964.0,266.0,598.0,311.0,245.0,76.0,,,,,,,85694.0,87944.0,,,2015,254.0,114.0,60.0,61.0,19.0,54.0,2.0,33.0,11.0,1.0,,,,118845.0,31827.0,5454.0,17512.0,173638.0,,,,5804.0,,,2.0,,,33.0,39.0,262105.0,70519.6,,
Mariposa,44.0,62.0,2.0,44.0,12.0,1.0,0.0,0.0,26.0,6.0,20.0,25.0,19.0,3.0,0.0,,26.0,18.0,37.0,7.0,,89.0,283.0,179.0,73.0,28.0,27.0,132.0,47.0,152.0,13.0,3.0,11.0,,,,,,,6153.0,5882.0,,,2015,64.0,52.0,4.0,0.0,8.0,22.0,3.0,13.0,5.0,2.0,,,,9872.0,1138.0,132.0,893.0,12035.0,,,,372.0,,,3.0,,,5.0,6.0,18088.0,70519.6,,
Mendocino,294.0,318.0,21.0,214.0,46.0,45.0,4.0,4.0,61.0,4.0,57.0,155.0,79.0,29.0,9.0,,163.0,131.0,250.0,44.0,,578.0,1449.0,1126.0,392.0,185.0,240.0,870.0,256.0,732.0,210.0,50.0,134.0,,,,,,,30178.0,29208.0,,,2015,339.0,184.0,68.0,12.0,75.0,139.0,16.0,79.0,32.0,15.0,,,,40540.0,13272.0,449.0,5125.0,59386.0,,,,2027.0,,,38.0,,,55.0,48.0,88429.0,70519.6,,
Merced,684.0,863.0,26.0,643.0,100.0,65.0,14.0,2.0,248.0,29.0,219.0,265.0,52.0,151.0,40.0,,663.0,21.0,622.0,62.0,,1668.0,7928.0,2546.0,806.0,522.0,283.0,2059.0,487.0,715.0,1468.0,255.0,108.0,,,,,,,87211.0,84559.0,,,2015,889.0,198.0,478.0,133.0,80.0,256.0,9.0,155.0,27.0,16.0,,,,54797.0,93830.0,6163.0,16980.0,171770.0,,,,9596.0,,,22.0,,,210.0,127.0,269729.0,70519.6,,
Modoc,24.0,22.0,2.0,19.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,4.0,1.0,0.0,,9.0,15.0,19.0,5.0,,69.0,122.0,136.0,43.0,19.0,18.0,99.0,37.0,106.0,9.0,3.0,18.0,,,,,,,3099.0,3052.0,,,2015,24.0,14.0,4.0,0.0,6.0,6.0,0.0,5.0,1.0,0.0,,,,4671.0,958.0,67.0,455.0,6151.0,,,,191.0,,,1.0,,,1.0,1.0,9507.0,70519.6,,
Mono,21.0,17.0,2.0,12.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,,13.0,8.0,18.0,3.0,,29.0,185.0,94.0,45.0,12.0,17.0,75.0,19.0,64.0,19.0,7.0,4.0,,,,,,,5524.0,4832.0,,,2015,19.0,11.0,6.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,,,,7185.0,2597.0,40.0,534.0,10356.0,,,,214.0,,,0.0,,,4.0,1.0,13818.0,70519.6,,
Monterey,929.0,1527.0,57.0,1166.0,160.0,116.0,25.0,5.0,433.0,43.0,390.0,420.0,68.0,272.0,40.0,,587.0,342.0,819.0,110.0,,1927.0,9535.0,3152.0,1167.0,749.0,365.0,2531.0,621.0,764.0,2023.0,246.0,119.0,,,,,,,149985.0,135510.0,,,2015,1584.0,243.0,1027.0,186.0,128.0,400.0,20.0,265.0,48.0,35.0,,,,90344.0,161932.0,8525.0,24694.0,285495.0,,,,11462.0,,,40.0,,,258.0,174.0,436242.0,70519.6,,
Napa,141.0,275.0,12.0,199.0,37.0,19.0,3.0,1.0,88.0,18.0,70.0,92.0,32.0,40.0,13.0,,96.0,45.0,126.0,15.0,,587.0,2586.0,1261.0,439.0,184.0,79.0,987.0,274.0,641.0,378.0,181.0,61.0,,,,,,,48764.0,47149.0,,,2015,287.0,127.0,112.0,28.0,20.0,82.0,10.0,51.0,17.0,7.0,,,,51522.0,32499.0,2061.0,9831.0,95913.0,,,,3173.0,,,7.0,,,30.0,35.0,141546.0,70519.6,,
Nevada,215.0,97.0,2.0,65.0,19.0,8.0,1.0,0.0,28.0,5.0,23.0,23.0,20.0,3.0,0.0,,157.0,58.0,176.0,39.0,,289.0,1715.0,700.0,174.0,114.0,164.0,543.0,157.0,582.0,72.0,17.0,29.0,,,,,,,32996.0,33228.0,,,2015,99.0,81.0,12.0,3.0,3.0,22.0,1.0,10.0,3.0,1.0,,,,56850.0,5972.0,284.0,3118.0,66224.0,,,,2004.0,,,0.0,,,22.0,20.0,98190.0,70519.6,,
Orange,6121.0,6319.0,256.0,4827.0,887.0,464.0,134.0,10.0,1459.0,286.0,1173.0,1768.0,571.0,911.0,145.0,,3321.0,2800.0,5317.0,804.0,,7220.0,68237.0,16071.0,5554.0,4559.0,2066.0,12628.0,3443.0,6202.0,7382.0,1076.0,1411.0,,,,,,,1073430.0,1082481.0,,,2015,6575.0,1605.0,3688.0,655.0,627.0,1648.0,120.0,910.0,447.0,183.0,,,,920299.0,719536.0,34878.0,481198.0,2155911.0,,,,75457.0,,,141.0,,,1027.0,867.0,3161218.0,70519.6,,
Placer,639.0,630.0,33.0,371.0,149.0,81.0,17.0,1.0,286.0,47.0,239.0,243.0,165.0,34.0,30.0,,431.0,208.0,543.0,96.0,,675.0,7227.0,2463.0,652.0,571.0,343.0,1823.0,640.0,1796.0,327.0,225.0,115.0,,,,,,,120134.0,124490.0,,,2015,663.0,465.0,86.0,64.0,48.0,227.0,16.0,111.0,60.0,27.0,,,,184951.0,35394.0,3364.0,20915.0,244624.0,,,,7902.0,,,14.0,,,129.0,152.0,370738.0,70519.6,,
Plumas,58.68,42.0,2.0,31.0,7.0,3.0,1.0,1.0,8.0,0.0,8.0,15.0,15.0,0.0,0.0,,41.68,17.0,45.9,12.78,,82.0,298.0,190.0,65.0,30.0,43.0,144.0,46.0,161.0,11.0,9.0,9.0,,,,,,,6426.0,6461.0,,,2015,44.0,40.0,2.0,1.0,1.0,15.0,0.0,8.0,2.0,0.0,,,,10844.0,1039.0,155.0,849.0,12887.0,,,,380.0,,,0.0,,,6.0,10.0,19586.0,70519.6,,
Riverside,3686.0,8772.0,449.0,6562.0,1340.0,720.0,174.0,20.0,3219.0,404.0,2815.0,2547.0,685.0,1273.0,516.0,,2298.0,1388.0,3258.0,428.0,,7020.0,65616.0,13443.0,4911.0,3260.0,1761.0,10752.0,2691.0,4378.0,6573.0,1965.0,527.0,,,,,,,759617.0,756973.0,,,2015,9221.0,2348.0,4368.0,2150.0,355.0,2358.0,189.0,1542.0,464.0,198.0,,,,585306.0,694414.0,97606.0,139264.0,1516590.0,,,,72636.0,,,73.0,,,1484.0,1370.0,2329256.0,70519.6,,
Sacramento,3813.0,6311.0,297.0,4792.0,809.0,540.0,96.0,20.0,2333.0,443.0,1890.0,1659.0,476.0,332.0,694.0,,1885.0,1928.0,3414.0,399.0,,8264.0,42018.0,13126.0,5159.0,2753.0,1809.0,10476.0,2650.0,4810.0,2495.0,4818.0,1003.0,,,,,,,489473.0,503233.0,,,2015,6608.0,1707.0,1264.0,2947.0,690.0,1564.0,95.0,839.0,273.0,172.0,,,,483551.0,209988.0,100722.0,198445.0,992706.0,,,,50282.0,,,157.0,,,943.0,743.0,1489952.0,70519.6,,
San Benito,131.0,102.0,4.0,84.0,9.0,6.0,0.0,0.0,30.0,7.0,23.0,31.0,5.0,22.0,1.0,,99.0,32.0,113.0,18.0,,179.0,725.0,590.0,186.0,65.0,175.0,460.0,130.0,193.0,371.0,11.0,15.0,,,,,,,19367.0,19714.0,,,2015,106.0,21.0,80.0,1.0,4.0,31.0,0.0,21.0,1.0,0.0,,,,15347.0,21407.0,366.0,1961.0,39081.0,,,,904.0,,,3.0,,,11.0,14.0,57584.0,70519.6,,
San Bernardino,5074.0,7912.0,387.0,5672.0,1253.0,657.0,126.0,29.0,2602.0,369.0,2233.0,2938.0,705.0,1369.0,723.0,,4010.0,1064.0,4309.0,765.0,,9947.0,59592.0,23909.0,8074.0,6955.0,4016.0,18917.0,4992.0,6980.0,11136.0,4921.0,872.0,,,,,,,702733.0,706364.0,,,2015,8299.0,1905.0,3644.0,2381.0,369.0,2752.0,186.0,1599.0,502.0,258.0,,,,473755.0,686950.0,121833.0,126559.0,1409097.0,,,,69539.0,,,141.0,,,2017.0,1703.0,2129851.0,70519.6,,
